"[HOW TO USE THIS TABLE]
company","is it
aging
?",operating status,"short summary
(intended to be objective, usually from company website, edited for brevity)",clinical stage / pipeline (as of Jun'22),Tx or Dx,"Aging Biotech
 .info company
categories","hallmarks
of aging",SENS damage categories,diseases / indications,species (humans implied),clin. trials (as of Jun'22),modalities,regulatory category,"team/principals
(esp. scientific)",advisors (scientific),contact info,geo(s),public?,ticker Y!,"ticker 
f/ G (if diff)",market cap (M),"employees, Y! publics",employees LI (as of May'22),year founded,priv. fund. stage,notable investors,tot. raised ($M) (as of Jun'22),other relations,lead product(s),publications,as of (last full row update),add date if after Oct 2019,notes
Fountain Therapeutics,yes,operating,"unbiased screening platform for new aging targets using AI, vision, & cellular model of aging hallmarks",pre-clinical,Tx,signals? / factors?,cell comm?,,,,,,,link (to-do: expand here),,info@fountaintx.com,San Francisco,no,,,,,17,2018,,Bold,$26,QB3,,,2019-07-24,,
FoxBio (was Antoxerene),yes,operating,"drug platform using protein manufacturing tech, senolytics targeting p53 pathways (eg p53/FOXO4)",pre-clinical,Tx,senescence,senescence,senescence,,,,small molecules,pharma,"Kelsey Moody, Adam Blanden, Cees Wortel",,info@ichortherapeutics.com,"Syracuse, NY",no,,,,,2,2016,raised seed,"Juvenescence, Kizoo",$11.5,"Ichor, Juvenescence",,,2019-08-09,,Ichor spun out Antoxerene. Antoxerene & Juvenescence created FoxBio as a 50-50 joint venture. Considering them (A & FB) as one here for now since FB has no website nor LIn employees.
"FOXO Technologies
(was Life Epigenetics)",yes,operating,"B2B epigenetic tests as a service (for pharma & nutraceutical clients, research, insurance)",pre-commercial,Dx,"epigenetic, clock",epigenetic,,life insurance,,,saliva sample,unreg test,"Jon Sabes, Brian Chen, Randy Olson","Michael Curran, Morgan Levine, Raymond McCuley, Andreas Muller",info@lifeegx.com,Minneapolis,yes,FOXO,,$15,82,60,2016,raised C,subsidiary of GWG Holdings (a public company),$63,GWG Holdings,,,2019-07-30,,"[Company name updated 4/28/2020, but rest of row needs update, including rest of this cell.] Sister company YouSurance (also a subsidiary of GWG) in beta beginning to sell DTC life insurance (using Life Epigenetics service?)"
GEn1E Lifesciences,yes,operating,drug discovery platform for inflammatory & aging diseases; lead is p38α kinase inhibitor,ph.1 trials,Tx,,,,"acute lung injury, agingD?",,1,,pharma,"Ritu Lal, Clint Webb, Wendy Luo","David Young, Alan Levy, Robert Booth, Leonard Hayflick",Info (@) GEn1Elifesci.com,San Francisco,no,,,,,15,2018,,,,,,,2019-07-30,,"Some profiles on 3rd party sites (older material?) omit mention of aging, instead saying a pipeline for rare diseases. No explanation p38 kinase inhibition's larger role in aging. Giving benefit of doubt for now for putting aging front and center and pledging age-related disease indications coming."
Genescient,yes,operating,platform using naturally selected long-lived flies (drosophila) & genomics,pre-clinical,,,,,,,,,,,,,,no,,,,,3,2006,,,,,,,to be completed,2020-05-04,
GenFlow Biosciences,yes,operating,"gene therapies for aging in dogs & humans, especially relating to SIRT6",pre-clinical,Tx,DNA,DNA,,,"dogs, humans",,gene therapy,pharma,"Eric Leire, Tongtis Tongyai","Eric Verdin, Matthew Hirschey, Vera Gorbunova, Aubrey de Grey, Manlio Vinciguerra",eric@genflowbio.com,Belgium,no,,,,,5,2020,,,,,,SIRT6 related,2020-10-01,2020-10-01,
Genome Protection,yes,operating,"entolimod & other drugs for anti-aging & cancer, esp. by protecting genome, esp. against transposons",ph.2 trials,Tx,DNA,DNA,cancer,various cancers,,3,small molecules,pharma,"Andrei Gudkov, Yakov Kogan, Katerina Andrianova",,info@genomeprotection.com,"Buffalo, NY",no,,,,,7,2018,seed,Norma Investments,$10.5,"Everon, Cleveland Biolabs",entolimod (drug),several inc. peer-reviewed,2019-07-17,,also started with a portfolio of other anti-aging and anti-cancer drugs from parent Everon Biosciences
GenSight Biologics,yes,operating,"allotopic expression w/ targeting to deliver mRNA to mitochondria, for retinal & neuro mito diseases",ph.3 trials,Tx,mitochondria,mitochondria,mitochondria,"NA eyeDs, AMD",,8,viral gene therapy,pharma,"Bernard Gilly, Magali Taiel, Catherine Cancian","Botond Roska, Jose-Alain Sahel, Jean Bennett, Ernst Bamberg, Connie Cepko, Serge Picaud, Luk Vandeberghe",form,"Paris, New York",yes,SIGHT.PA,EPA:SIGHT,$164,28,48,2012,,,,,,,2020-01-06,,allotopic expression of mtDNA w/ targeting to deliver the mRNA to mitochondria could rescue mito aging; also in pre-clinical development for age-related dementias
Gero,yes,operating,physics based data/AI biomarkers for licensing & therapy development,pre-clinical,"Dx, TX",clock,,,"life insurance, ?",,,,unreg test,"Peter Fedichev, Maxim Kholin",,info@gero.ai,"Moscow, Singapore",no,,,,,37,2015,,,,,,"several, inc. peer reviewed",2020-01-15,,
Gerostate Alpha,yes,operating,pharmaceutical scerening platform to treat aging,pre-clinical,Tx,lifespan screens,,,,,,,pharma,"Simon Melov, Gordon Lithgow, Mark Lucanic",,SMELOV@GEROSTATEALPHA.COM,San Francisco,no,,,,,1,2018,,"YC, CRCM",$0.15,,,,2019-09-12,,
GlycanAge,yes,operating,DTC aging clock,commercial,Dx,,,,,,,,,Nikolina Lauc,,,,no,,,,,12,2019,,,,,,,to be completed,2020-05-04,
Gordian Biotechnology,yes,operating,"unbiased, high-throughput, in-vivo screening platform for aging w/ gene therapy & single-cell RNAseq",pre-clinical,Tx,,,,,,,gene therapy,pharma,"Francisco LePort, Martin Borch Jensen, Daniel Fuentes, Chris Towne","Tom Rando, Randy Platt, David Schaffer, Laura Deming, Edward Lanphier, Thomas Ebeling",info@gordian.bio,San Francisco,no,,,,,14,2018,,"Longevity Fund, NJF",,"QB3, Age1",,,2019-08-06,,"Not to be confused with several other companies named Gordian, in IT, investment banking, & staffing/recruiting."
Humanity Inc,yes,operating,aging-focused health/wellness platform using biomarkers & self-experimentation,commercial,recs,,,,,,,software/system,unreg app/advice,"Michael Geer, Peter Ward",,info@humanity.email,UK,no,,,,,29,2019,,,,,,,2020-02-07,,
"Ichor Life Sciences 
(was Therapeutics)",yes,operating,"biopharma that spins off subsidiaries inc. senolytics, enzymes for lipofuscin, a CRO, & oral mAb mimetics",commercial,Tx,,,,"AMD, other undisclosed",,,"small molecules, biologics",pharma,"Kelsey Moody, Aaron Wolfe, Cornelis Wortel",,info@ichortherapeutics.com,"Syracuse, NY",no,,,,,29,2013,raised seed,Kizoo,$4.5,"FoxBio, LysoClear, Auctus Biologics",,several,2019-08-24,,"2021: shifted to focus on service (CRO) offerings rather than being an umbrella development company, but still seems to have an aging emphasis. 2019 notes: LysoClear doesn't qualify for this list due narrow 1-body-part (eye) & 1-disease focus, but the platform approach it came from does & lives in Ichor. Auctus could qualify w/ similarities to Longevity Biotech, but too little info avail publicly on indications."
"IHS (Integrated
Health Systems)",yes,operating,medical tourism to access gene & cell therapies for aging esp. telomeres & myostatin; BioViva partner,commercial,Tx,telomeres,telomeres,,"AD, cancer, kidneyDs",humans,,viral gene therapy,medical tourism,a team of doctors,,info@integrated-health-systems.com,,no,,,,,0,?,,,,"BioViva, IHS Pets",,,2019-08-14,,Ex-USA travel not mentioned explicitly but apply-for-study link leads to https://mailchi.mp/bioviva-science.com/alzheimers/ which mentions travel to Mexico. Not to be confused with the other Integrated Health System (same exact name) at https://ihs911.com/ which does IT for senior living and related care facilities.
IHS Pets,yes,operating,"medical tourism for pets esp. telomerase, follistatin, & klotho gene therapy & stem cells for dogs, cats, horses",commercial,Tx,telomeres,telomeres,,,"dogs, 
cats, horses",,,,,,,"British 
Virgin Islands",no,,,,,1,?,,,,IHS,,,2022-06-06,2022-06-06,Not clear if this is part of IHS or a sister company. Creating separate row until that uncertainty is resolved.
InSilico Medicine,yes,operating,"AI for drug discovery, biomarkers, & aging",ph.1 trials,,clock?,,,,,1,,,"Alex Zhavoronkov, Marine Bozdaganyan, Ivan Ozerov, Jimmy Yen-Chu Lin, Polina Mamoshina","Charles Cantor, Michael Levitt, Bud Mishra, Donald Small, Yuri Nikolsky, Kristen Fortney, Alexey Moskalev, Ulrich Muehlner",zhu@insilicomedicine.com,"Hong Kong, Moscow",no,,,,,161,2014,raised D,"Qiming, Wuxi AppTec, Deep Knowledge Ventures, Juvenescence, Bold, Jim Mellon",$366,,,sevenal,2019-09-10,,"Mostly AI for drug discovery (like many others not focused on aging) but also consistently focused on aging, publishing on aging, launching aging-focused sites, creating aging-related partnerships, etc. Recent post on Medium suggests shifting focus away from aging. If that happens, Insilico will move to the peripherally aging subsheet."
IntraClear Biologics,yes,operating,"gene or enzyme therapy to remove lipofuscin, then another for 7KC, then panel of aging biomarkers",pre-clinical,"Tx, Dx",in-cell aggregates,,in-cell aggregates,,,,,,"Ariel Feinerman, Ilia Mazunin,  Yevgen Haletskyi","Aubrey de Grey, James Clement, Gary Hudson, Nicolas DeLateur",info@intraclearbiologics.com,,no,,,,,2,2020,,,,,,,2021-05-08,2021-05-08,
Intervene Immune,yes,operating,reverse thymus involution & (immune) aging w/ HGH+DHEA+more; provide thru collaborating drs.,ph.2 trials,Tx,stem cells,stem cells,cell loss,,,1,,,"Greg Fahy, Bobby Brooke",,info@interveneimmune.com,Los Angeles,no,,,,,4,2011,,,,,,"Aging Cell, 2019",2019-09-12,,TRIIM trial results published in 2019 showed Horvath clock reversal of 2.5yrs over 1yr of study.
Juvena Therapeutics,yes,operating,"discovery platform for proteins promoting tissue regeneration, using proteomics, vision, ML",pre-clinical,Tx,"stem cells, signals / factors","stem cells, cell comm",cell loss,,,,biologics,pharma,"Hanadie Yousef, Jeremy O'Connell","Mike Nohaile, David Schaffer, Joe Wu, Peter Jackson, Irina Conboy",form,San Francisco,no,,,,,15,2017,raised seed,"Felicis, Compound, Front Seat, Barney Pell",$8.2,,,,2019-09-13,,
Juvenescence,yes,operating,biopharma umbrella company that creates/invests-in other companies for aging therapeutics,"commercial, pre-clinical",Tx,umbrella,,,,,,,,"Greg Bailey, Declan Doogan, Colin Watts, Alexander Pickett, Margaret Jackson, Nafees Malik","Annalisa Jenkins, Steve Felstead, Howard Federoff, Sef Kurstjens, Charlie Roberts, Jeff Sprouse",form,London,no,,,,,38,2016,raised B,"Foresite, Grok, IPGL, Jim Mellon",$219,"Tx portfolio, 
consumer portfolio",,papers,2019-08-26,,
Juvify,yes,operating,weight loss supplement against aging based on the science of Advanced Glycation End products (AGEs),commercial,Tx,ECM or AGEs,,ECM,,,,nutraceuticals,supplement,Pankaj Kapahi,,,,no,,,,,1,2021,,,,,,,2021-05-12,2021-05-04,
Khondrian,yes,operating,mitochondrial drug platform focused on countering abnormal architecture & redox issues,ph.2 trials,Tx,mitochondria,mitochondria,mitochondria,MELAS,,5,small molecules,pharma,,,info@khondrion.com,Netherlands,no,,,,,7,2012,,,,,Sonlicromanol (prev KH176),several papers,2021-05-05,2021-05-05,
Lento Bio,yes,operating,"small molecules to treat molecular damage, 1st for AGEs, 1st for presbyopia",pre-clinical,Tx,ECM or AGEs,,ECM,presbyopia,,,small molecules,pharma,Kris Barnes,"Kelsey Moody, Aaron Wolfe",form,"NY 
(upstate)",no,,,,,1,2022,,Ichor,,Ichor,,,2022-06-09,2022-06-09,
Life Biosciences,yes,operating,biopharma umbrella company that creates/invests-in other companies for aging therapeutics,pre-clinical,Tx,umbrella,,,,,,,,"Mehmood Khan, Tristan Edwards, John Amatruda, Jennifer Cermak, William Avery","Nir Barzilai, Lindsay Wu",info@lifebiosciences.com,Boston,no,,,,,21,2017,raised B,,$207,,,,2019-08-26,,
Life Length,yes,operating,"telomere testing DTC & for drs & as contract research, also for cancer diagnostics",commercial,Dx,telomeres,telomeres,,cancer,,,,unreg test,"Stephen Matlin, Pilar Najarro, Lissette Otero, Nuria De Pedro","Bill Andrews, Sandy Chang, Inderjeet Dokal, Mark Rosenberg, Jerry Shay, Takuji Shirasawa",info@lifelength.com,"Madrid, Spain",no,,,,,72,2010,,,,,,,2020-02-05,2020-02-05,
Lineage Cell Therapeutics,yes,operating,allogeneic transpalntation of cells terminally differentiated f/ reproducible pluripotent stem cells,ph.2 trials,Tx,stem cells,stem cells,cell loss,"dry AMD, SCI, cancer, hearing loss",,2,cell therapy,pharma,"Brian Culley, more...",,contact@lineagecell.com,San Diego,yes,LCTX,,$255,57,31,1990,,,,,"OpRegen, OPC1",,2022-09-23,2022-09-23,Targeting replacing cells lost to degenerative conditions or injury plus boosting immune function (to fight cancer) but this latter probably counts as replacing cells lost to degeneration too.
Longevica,yes,operating,,pre-commercial,,,,,,,,,,,,,,no,,,,,9,2021,,,$2.5,,,,to be completed,2021-05-08,
Longeveron,yes,operating,allogeneic mesenchymal stem cells f/ bone marrow,ph.2 trials,Tx,stem cells,stem cells,cell loss,pre-clinicalph.2 ready,,10,cell therapy,pharma,"Geoff Green, Joshua Hare, Anthony Oliva","Jeremy Walston, Laura Dugan, Elena Volpi, Hidenori Arai",form,Miami,yes,LGVN,,$79,18,20,2014,,,$9,,,,2019-08-23,,
Longevity Biotech,"yes
(see notes)",operating,"platform peptides long-lived w/ oral administration, 1st or neurodegeneration (via VIP receptors) & T2D",clinical trials,Tx,,,,"PD, neuroDs, T2D, cancer",,1,peptides,pharma,"Scott Shandler, Samuel Gellman, Uma sinha","William Degrado, Howard Gendelman, Soumitra Ghosh, Chris Rhodes, James Waschek",Info@LongevityBiotech.com,Philadelphia,no,,,,,4,2010,,"NMSS, Thiel/Breakout, MJF",$1.9,,"LBT-3627, LBT-6030",several,2019-08-23,,"Longevity in the name appears to refer to the stability of the peptides, not longevity of the patient. Nonetheless, the platform's early pipeline indications include a variety of age-related diseases, and mostly age-related diseases, even though aging/longevity doesn't seem to be a company mission or criterion, eg based on interview here: https://www.sciwri.club/archives/7375"
Loyal (was Celevity,yes,operating,drug(s) to treat aging in dogs,pre-vet-clinical,Tx,metabolism,nutri-sense,,,dogs,,drugs,veterinary,Celine Halioua,,,,no,,,,,50,2019,raised A,"Longevity Fund, Collaborative Fund, Bedrock, Village",$38,,,,2019-12-19,2019-12-19,
Lyceum Pharmaceuticals,yes,operating,"platform based on drosophila outbread to improve aging and robustness, based on research of Michael R. Rose",pre-clinical,,,,,,,,,,,,,,no,,,,,2,2015,,,,,,,to be completed,2021-05-04,
LyGenesis,yes,operating,"regrow organs in lymph nodes f/ donor cells, 1st for liver diseases, later thymus, pancreas, & kidneys",ph.2 trials,Tx,stem cells,stem cells,cell loss,liverDs,,1,,pharma,"Michael Hufford, Paulo Fontes, Eric Lagasse",,form,Pittsburgh,no,,,,,6,2017,,"Juvenescence,
Longevity Vision Fund",$18,Juvenescence,LYG-LIV0001,"2 on liver, 2 on kidney",2020-08-30,,
Mesoblast,yes,operating,allogeneic mesenchymal stem cells for inflammatory conditions,"ph.3 trials,
EU JP approved",Tx,stem cells,stem cells,cell loss,"GVHD, HF, chronic back pain,
OA, diabetic nephropathy",,41,cell therapy,pharma,"Silviu Itescu, Fred Grossman, Roger Brown",,info@mesoblast.com,Melbourne,yes,MESO,,$844,81,84,2004,,,,,"Revascor, Remestemcel-L, MPC-06-ID",many,2019-08-23,,"A lot of focus on non-age-related conditions, but stem-cell tech clearly applicable to aging too with several aging-related indications. Claimed first allogeneic stem-cell therapy approved in Japan & first in Europe."
Methuselah Health,yes,operating,protein post-translational modification analysis for drug discovery for proteostasis,pre-clinical,Tx,proteostasis,proteostasis,ex-cell aggregates,,,,drugs,pharma,"David Grainger, David Mosedale, Mary Donnelly",,info@methuselah-health.com,"Cambridge, UK",no,,,,,2,2015,,"Medicxi, Index Ventures",,,,,2019-11-14,2019-11-14,
Minovia Therapeutics,yes,operating,"autologous stem cells enriched w/ mitochondria to transfer to other cells, for mitochondria dysfunction",ph.2 trials,Tx,"mitochondria / mito-transfusion,
stem cells","mitochondria, stem cells?",mitochondria,"NA mitoDs, AD, PD, AMD",,3,cell therapy,pharma,"Natalie Yivgi-Ohana, Noa Sher, Eyal Shoshani",,info@minoviatx.com,Israel,no,,,,,38,2011,,,,,,,2020-01-06,,Approval in Japan (see pipeline). Other company details at http://minovia.com/mitochondrial-augmentation-therapy/ & http://minovia.com/open-questions/
Mitobridge,yes,operating,"therapeutics to improve mitochondria, lead programs target modulation of PPARδ",ph.2 trials,Tx,mitochondria,mitochondria,mitochondria,"AKI, DMD",,9 (2 + 7),small molecules,pharma,"Mike Patane, David Williams, Bharat Lagu","Johan Auwerx, Andrew Dillin, Ron Evans, H. Robert Horvitz, Jodi Nunnari,  Mason Freeman",info@mitobridge.com,Boston,no,,,,,23,2013,acquired,"MPM Capital, Longwood Fund, and Astellas Pharma",,Astellas Pharma,"ASP1128, ASP0367",several papers,2021-05-05,2021-05-05,Acquired by Astellas
Mitotech,yes,operating,"mito-targeted antioxidants via small molecules, 1st for (mostly age-related) eye diseases",ph.3 trials,Tx,mitochondria,mitochondria,mitochondria,"DryEye, dryAMD, 
glaucoma",,3,small molecules,pharma,"Natalia Perekhvatova, Lawrence Friedhoff, Maxim Skulachev","Penny Asbell, Robert Ritch, James T. Rosenbaum",form,Russia,no,,,,,13,2009,,,,,Visomitin,,2022-06-20,2022-06-20,
"Mitrix.bio 
(formerly Mitochondrial Transfusion)",yes,operating,whole body mitochondrial transfusion,pre-clinical,Tx,mitochondria / mito-transfusion,mitochondria,mitochondria,"AD, PD, CVD, sarcopenia",,,cell/organelle therapy,pharma,Tom Benson,,form,San Francisco,no,,,,,3,2018,,,,,,,2022-03-29,,See also this Longevity.Technology piece.
Mitokinin,"only
brain",operating,"develop neo-substrates that modify kinase activity for mitochondria & neuro diseases, 1st for PD",pre-clinical,Tx,mitochondria,mitochondria,mitochondria,"PD, HD, other mito & neuroDs?",,,,pharma,"Kevan Shokat, Nicholas Hertz, Daniel de Louret","M. Flint Beal, X. William Yang, Ray Truant",,San Francisco,no,,,,,19,2017,,,$5,QB3,,,2019-07-10,,
Mogling Bio,yes,operating,"rejuvenate old stem cells, specifically HSCs via Cdc42 inhibition",pre-clinical,Tx,stem cells,stem cells,cell loss,,,,,pharma,"Jürgen Reeß, Yi Zheng, 
Hartmut Geiger","
Jan S. Rosenbaum, Jose Cancelas-Perez",juergen.reess@moglingbio.com,,no,,,,,1,2022,raised seed,Kizoo,,,,publications,2022-10-27,2022-10-27,
Morphoceuticals Inc,yes,starting?,limb & tissue regeneration,pre-clinical,,,,,,,,,,"Michael Levin, David Kaplan",,,,no,,,,,1,2020,,Juvenescence,,Juvenescence,,,2021-05-12,2021-05-12,
MyndYou,"only
brain",operating,"cognition eval app w/ AI to passively track movement & conversation, platform for therapists",commercial,Dx,proteostasis?,proteostasis?,ex-cell aggregates?,"AD, other MCI",,,"mobile app, telecom?",,"Ruth Poliakine Baruchi, Itay Baruchi, ",,form,Israel,no,,,,,25,2016,raised seed,"Amplifyher, Female Founders Fund, Howard Morgan",,Mizuho,,,2019-07-22,,"Company webpage indicates more palliative focus than other cognitive testing app companies (eg NeuroTrack, Altoida), but clearly the technology has the potential to be used as cognitive decline biomarker/diagnostic. Being deployed currently as more of a augmentative tool for therapists?"
Napa Therapeutics,yes,operating,drug discovery pursuing novel targets related to NAD metabolism using drug discovery AI + NAD science,pre-clinical,Tx,mitochondria / NAD+,mitochondria,mitochondria,,,,small molecules,pharma,"
Qiuxia Wu",Eric Verdin (presumably not employee?),,San Francisco,no,,,,,3,2019,,Juvenescence,$3,"Juvenescence, Insilico Medicine",,,2020-02-20,,
"Navitor
Pharmaceuticals",yes,operating,drug discovery targeting mTORC1 modulation,ph.2 trials,Tx,metabolism / mTOR,nutri-sense,,"HD, MCI, depression
muscle wasting",,3,small molecules,pharma,"George Vlasuk, Eddine Saiah, James (""Randy"") Owen","David Sabatini, Michael Hall, Brian Hubbard, Brendan Manning, Mark Murcko",3 emails,Boston,no,,,,,10,2010,raised C,"Brace Pharma, J&J, Sanofi, SR One, Polaris, Longevity Fund",$98,,NV-5138,several peer reviewed,2019-07-31,,
NemaLife Inc.,yes,operating,"automating C.elegans HTS inc. healthpan/lifespan w/ microfluidics, computer vision, & data intelligence",commercial,tool,lifespan screens,,,"some specific worm
disease models",,,"tool as product, service",unreg tool,"Siva Vanapalli, Mizanur Rahman",,info@nemalifeinc.com,"Lubbock, TX",no,,,,,21,2018,,,,,,bioRxiv preprint,2019-07-17,,"the microfluidics approach distinguishes this from some other worm automation work, eg allowing automated removal of offspring to allow focus on the aging adult worms"
NeuroTrack,"only
brain",operating,eye-tracking cognitive (esp. memory) 5min test & multimodal lifestyle digital intervention program,commercial?,"Dx, Tx",proteostasis?,proteostasis?,ex-cell aggregates?,MCI,,4,mobile app,reg Dx?,"Elli Kaplan, Nick Bott, Jordan Glenn","John Harrison, Richard Isaacson, Dorene Rentz, Mike Poole",support@neurotrack.com,San Francisco,no,,,,,45,2012,raised C,"Founders Fund, Khosla, Marc Benioff, Social Capital, Sozo Ventures",$50,,Imprint Memory Assessment,https://aging.jmir.org/2018/2/e12031/,2019-07-22,,
New Limit,yes,operating,epigenetic reprogramming (+ ML & single cell profiling) to radically extend healthspan 1st for immune system,pre-clinical,Tx,epigenetic,epigenetic,,,,,,pharma,"Brian Armstrong, Blake Byers, Greg Johnson, Jacob Kimmel","Alex Marson, Mark M. Davis",,San Francisco,no,,,,,3,2022,,Brian Armstrong,$105,,,,2022-06-20,2022-06-20,
Newomics,maybe,operating,microfluidics platform based on new emitter for improved LC-MS for multi-omics,commercial,Dx,senescence,senescence,senescence,"AD, T2D",,,,,"Daojing Wang, Doug Henry, Frank Slovenec, Pan Mao","Michael MacCoss, Jonathan Sweedler, Glenn Takayama",info@newomics.com,San Francisco,no,,,,,10,2011,raised seed,"Berkeley Catalyst, Photon",$15.7,QB3,"M3 Emitters, MEA Chip, Senescence Chip",several; notably for aging the senescence chip paper: https://www.ncbi.nlm.nih.gov/pubmed/?term=29336105,2019-12-25,2019-12-27,"Broader technology platform than aging. But the only specific diagnostics mentioned on about page were all aging related: diabetes, Alzheimer's, & senescent cells tests. Conclusion: include for now but re-evaluate later to see if non-aging is majority of the business."
Nuchido,yes,operating,"nutraceutical for NAD+ w/o NR, includes regulators of pathways that make/lower NAD+",commercial,Tx,mitochondria / NAD+,mitochondria,mitochondria,,,,nutraceuticals,supplement,Nichola Conlon,Tom Kirkwood,,"Newcastle, UK",no,,,,,9,2017,,Deepbridge,,,Time Capsule,poster,2019-08-09,,List of ingredients does not seem to be available yet.
Numeric Biotech,yes,operating,"selective targeting of foxo4-p53, for inflammatory neuro diseases & auto-immune diseases",pre-clinical,Tx,senescence,senescence,senescence,neuroDs,,,,,"Hans G. van Berkum, more",link,info@numericbiotech.com,,no,,,,,0,2017,,,,,NBT-103,,2021-05-11,2021-05-11, 
NuSirt,yes,operating,"supplements + existing drugs for low-cost discovery, targeting sirtuins (esp. Sirt1) for metabolic diseases",ph.2 trials,Tx,metabolism,nutri-sense,,"NAFLD, NASH, T2D, obesity, hypertension",,4,"small molecules,
 nutraceuticals","pharma,
 supplement","Joseph Cook, Michael Zemel, Barbara Cannon","Alan Cherrington, Zan Fleming, Orville Kolterman, Mary Rinella, Naga Chalasani",Info@NuSirt.com,"Knoxville, TN",no,,,,,3,2007,raised C,,$16,,NS-0100,several papers,2020-10-12,2020-10-12,
Oisin Bio (& OncoSenX),yes,operating,"targeted non-viral gene therapy based on DNA expression, for senescent cells & cancer (via spinout)",pre-clinical,Tx,"senescence, DNA","senescence, DNA","senescence, cancer","cancer (all solids), more TBD",,,non-viral gene therapy,pharma,"Matt Scholz, Gary Hudson, John Lewis",,form,Seattle,no,,,,,17,2014,closed seed,"Methuselah, Kizoo",$18.8,Entos Pharmaceuticals,,,2019-07-31,,"Spun out OncoSenX for cancer (not on this list since devoted only to cancer, but for the purposes of this list the 2 companies are best considered as one). Total raised is sum of Oisin + OncoSenX."
OneSkin Technologies,yes,operating,"screening platform using 3D human skin culture & skin age clock, 1st therapy a topical senolytic peptide",commercial,Tx,senescence,senescence,senescence,,,,peptide for topical use,reg cosmetic,"Carolina Oliveira, Andres Ochoa, Alessandra Zonari, Mariana Boroni",,information@oneskintech.com,San Francisco,no,,,,,17,2016,raised seed,SOSV/IndieBio,$7.2,QB3,"OS-1, OS-2",,2019-08-02,,
"OpenCures
(was OpenOme)",yes,operating,DTC metabolomics & proteomics tests; plasmalogen supplement,commercial (limited early access),Dx,,,,,,,blood test,unreg test,"Kevin Perrott, Mark Hamalainen, Chandra Duggirala","Aubrey de Grey, Nathan Price, Jim O'Neill, Lei Ding, Christine Peterson, Michael MacCoss",contact@opencures.org,San Francisco,no,,,,,4,2018,,,,,,,2020-04-28,,
Pano Therapeutics,yes,operating,"""Targeting mtTOB – Mitochondrial Target of Biguanides"" for ""Rare Genetic Diseases and Diseases of Aging""",pre-clinical,Tx,mitochondria,mitochondria,mitochondria,,,,small molecules,pharma,Francesca Fieni,,,San Francisco,no,,,,,3,2017,,,,,,,2019-08-27,,"Not to be confused with 2 similarly named bio/pharma companies: Oxford, UK based Panos Therapeutics nor with Pano.com, an SF area biotech/pharma incubator."
Pentraxin Therapeutics,yes,IP only?,small molecule targeting amyloid component for AD & separate CRP inhibition program,ph.2 trials (Europe),Tx,proteostasis,proteostasis,ex-cell aggregates,"AD, CVD, neuroDs",,1 (but old GSK trials of CPHPC also relevant for safety),small molecules,pharma,Mark Pepys,,contact@pentraxin.com,London,no,,,,,1,2001,,,,,miridesap (formerly CPHPC),several peer reviewed,2019-07-19,,
PharmatrophiX,"only
brain",operating,"small moleculels for neurodegenerative diseases targeting neurotrophin repceptors, esp. p75",ph.2 trials,Tx,,,,"AD, neuroDs",,1,small molecules,pharma,"Anne Longo, Frank Longo",,anne@pharmatrophix.com,San Francisco,no,,,,,2,2005,,Dolby,$11.8,,LM11A-31,several inc. peer reviewed,2019-07-24,,
Pluristem,yes,operating,"placenta-derived allogeneic stem cells for muscle, inflammation, hematological conditions, etc",ph.3 trials,Tx,stem cells,stem cells,cell loss,"muscle injury, cGVHD, Covid",,11,cell therapy,pharma,"Yaky Yanay, Nitsan Halevy, Lior Raviv",,info@pluristem.com,Israel,yes,PSTI,,#N/A,153,155,2003,,,$163,,"PLX-PAD, PLX-R18",publications,2022-06-29,2022-06-29,
"Ponce de Leon Health
/ Rejuvant",yes,operating,"nutriceutical shown to increase lifespan in c.elegans & mammals, key ingredient is alpha-ketoglutarate (AKG)",commercial,Tx,,,,,,1,nutraceuticals,supplement,Tom Weldon,,Rejuvant@webcsr.info,,no,,,,,6,2015,raised B,Partisan Mngmnt,$6,,Rejuvant,,2019-08-09,,Claimed scienc-backed mechanisms of action include blocking SASP and reverting methylation state to be more youthful.
Proclara Biosciences,yes,operating?,"treat multiple misfolded proteins (Aβ, Tau, α-synuclein, AL, TTR) by targeting the shared amyloid fold",ph.1 trials,Tx,proteostasis,proteostasis,ex-cell aggregates,"AD, PD, amyloidosis",,4,biologics,pharma,"Richard Fisher, David Michelson, Rajaraman Krishnan","Paul Aisen, David Hafler, David Holtzman, Bradley Hyman, Kenneth Marek, Greg Petsko, Beka Solomon",form,Boston,no,,,,,1,2007,raised E,"Merieux, Shire, Smedvig",$116,,"NPT088, NPT189",couple papers & posters,2019-07-19,,Formerly named NeuroPhage Pharmaceuticals.
